id,gc_content,a_freq,c_freq,g_freq,t_freq,at_gc_ratio,seq_len,label
NZ_BKCD01000209.1,0.5024875621890548,0.23383084577114427,0.2835820895522388,0.21890547263681592,0.263681592039801,0.99009900990099,201,Escherichia coli
NZ_BKCD01000208.1,0.54337899543379,0.2009132420091324,0.2602739726027397,0.2831050228310502,0.2557077625570776,0.8403361344537814,219,Escherichia coli
NZ_BKCD01000207.1,0.47058823529411764,0.20361990950226244,0.2669683257918552,0.20361990950226244,0.3257918552036199,1.125,221,Escherichia coli
NZ_BKCD01000206.1,0.4911504424778761,0.24336283185840707,0.26548672566371684,0.22566371681415928,0.26548672566371684,1.0360360360360361,226,Escherichia coli
NZ_BKCD01000205.1,0.5344827586206896,0.2629310344827586,0.2413793103448276,0.29310344827586204,0.2025862068965517,0.8709677419354839,232,Escherichia coli
NZ_BKCD01000204.1,0.5387931034482759,0.1939655172413793,0.2974137931034483,0.2413793103448276,0.2672413793103448,0.8559999999999999,232,Escherichia coli
NZ_BKCD01000203.1,0.5666666666666667,0.20833333333333334,0.2708333333333333,0.29583333333333334,0.225,0.7647058823529412,240,Escherichia coli
NZ_BKCD01000201.1,0.44223107569721115,0.3107569721115538,0.22310756972111553,0.21912350597609562,0.24701195219123506,1.2612612612612613,251,Escherichia coli
NZ_BKCD01000200.1,0.5378486055776892,0.20717131474103587,0.250996015936255,0.2868525896414343,0.2549800796812749,0.8592592592592594,251,Escherichia coli
NZ_BKCD01000199.1,0.5357142857142857,0.23809523809523808,0.2896825396825397,0.24603174603174602,0.2261904761904762,0.8666666666666667,252,Escherichia coli
NZ_BKCD01000198.1,0.4722222222222222,0.2976190476190476,0.23015873015873015,0.24206349206349206,0.23015873015873015,1.1176470588235294,252,Escherichia coli
NZ_BKCD01000197.1,0.5375494071146245,0.25296442687747034,0.2885375494071146,0.2490118577075099,0.20948616600790515,0.8602941176470588,253,Escherichia coli
NZ_BKCD01000195.1,0.5098814229249012,0.2490118577075099,0.2766798418972332,0.233201581027668,0.24110671936758893,0.9612403100775193,253,Escherichia coli
NZ_BKCD01000194.1,0.5984251968503937,0.21653543307086615,0.3110236220472441,0.2874015748031496,0.18503937007874016,0.6710526315789473,254,Escherichia coli
NZ_BKCD01000193.1,0.48425196850393704,0.2677165354330709,0.24015748031496062,0.2440944881889764,0.24803149606299213,1.065040650406504,254,Escherichia coli
NZ_BKCD01000192.1,0.5590551181102362,0.2125984251968504,0.25984251968503935,0.2992125984251969,0.2283464566929134,0.7887323943661971,254,Escherichia coli
NZ_BKCD01000191.1,0.5411764705882353,0.24705882352941178,0.2980392156862745,0.24313725490196078,0.21176470588235294,0.8478260869565218,255,Escherichia coli
NZ_BKCD01000190.1,0.49411764705882355,0.2549019607843137,0.2196078431372549,0.27450980392156865,0.25098039215686274,1.0238095238095237,255,Escherichia coli
NZ_BKCD01000189.1,0.5313653136531366,0.21033210332103322,0.25461254612546125,0.2767527675276753,0.25830258302583026,0.8819444444444444,271,Escherichia coli
NZ_BKCD01000188.1,0.525,0.23214285714285715,0.24285714285714285,0.28214285714285714,0.24285714285714285,0.9047619047619047,280,Escherichia coli
NZ_BKCD01000187.1,0.6338028169014085,0.20774647887323944,0.28169014084507044,0.352112676056338,0.15845070422535212,0.5777777777777777,284,Escherichia coli
NZ_BKCD01000186.1,0.3916083916083916,0.3006993006993007,0.16783216783216784,0.22377622377622378,0.3076923076923077,1.5535714285714284,286,Escherichia coli
NZ_BKCD01000185.1,0.5847750865051903,0.22145328719723184,0.2664359861591695,0.31833910034602075,0.19377162629757785,0.7100591715976332,289,Escherichia coli
NZ_BKCD01000184.1,0.46621621621621623,0.3141891891891892,0.26013513513513514,0.20608108108108109,0.2195945945945946,1.144927536231884,296,Escherichia coli
NZ_BKCD01000183.1,0.4276315789473684,0.27960526315789475,0.23355263157894737,0.19407894736842105,0.29276315789473684,1.3384615384615386,304,Escherichia coli
NZ_BKCD01000182.1,0.4967532467532467,0.2824675324675325,0.2662337662337662,0.2305194805194805,0.22077922077922077,1.0130718954248368,308,Escherichia coli
NZ_BKCD01000181.1,0.35064935064935066,0.34415584415584416,0.20454545454545456,0.1461038961038961,0.3051948051948052,1.8518518518518519,308,Escherichia coli
NZ_BKCD01000180.1,0.5789473684210527,0.20743034055727555,0.33126934984520123,0.2476780185758514,0.21362229102167182,0.7272727272727272,323,Escherichia coli
NZ_BKCD01000179.1,0.4845679012345679,0.24691358024691357,0.25925925925925924,0.22530864197530864,0.26851851851851855,1.0636942675159238,324,Escherichia coli
